Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,18,3,Some Random Commen with Id 0
1,0,7,157,1,Some Random Commen with Id 1
2,0,7,106,6,Some Random Commen with Id 2
3,0,7,27,3,Some Random Commen with Id 3
4,0,7,84,0,Some Random Commen with Id 4
5,0,7,88,7,Some Random Commen with Id 5
6,0,7,180,4,Some Random Commen with Id 6
7,1,4,12,2,Some Random Commen with Id 7
8,1,4,83,5,Some Random Commen with Id 8
9,1,4,179,8,Some Random Commen with Id 9
10,1,4,30,2,Some Random Commen with Id 10
11,1,4,76,2,Some Random Commen with Id 11
12,1,4,180,6,Some Random Commen with Id 12
13,1,4,85,8,Some Random Commen with Id 13
14,1,4,193,0,Some Random Commen with Id 14
15,1,4,64,4,Some Random Commen with Id 15
16,2,4,119,0,Some Random Commen with Id 16
17,2,4,38,9,Some Random Commen with Id 17
18,2,4,40,3,Some Random Commen with Id 18
19,2,4,125,9,Some Random Commen with Id 19
20,2,4,80,6,Some Random Commen with Id 20
21,2,4,137,8,Some Random Commen with Id 21
22,2,4,132,8,Some Random Commen with Id 22
23,4,6,101,3,Some Random Commen with Id 23
24,4,6,198,4,Some Random Commen with Id 24
25,4,6,43,2,Some Random Commen with Id 25
26,4,6,17,0,Some Random Commen with Id 26
27,4,6,7,4,Some Random Commen with Id 27
28,4,6,195,5,Some Random Commen with Id 28
29,4,6,10,5,Some Random Commen with Id 29
30,4,6,81,8,Some Random Commen with Id 30
31,5,4,170,2,Some Random Commen with Id 31
32,5,4,79,8,Some Random Commen with Id 32
33,6,7,165,2,Some Random Commen with Id 33
34,6,7,90,5,Some Random Commen with Id 34
35,6,7,37,2,Some Random Commen with Id 35
36,6,7,56,6,Some Random Commen with Id 36
37,7,6,168,6,Some Random Commen with Id 37
38,7,6,113,3,Some Random Commen with Id 38
39,7,6,4,3,Some Random Commen with Id 39
40,8,4,158,0,Some Random Commen with Id 40
41,8,4,66,2,Some Random Commen with Id 41
42,8,4,68,7,Some Random Commen with Id 42
43,8,4,185,1,Some Random Commen with Id 43
44,9,3,137,2,Some Random Commen with Id 44
45,9,3,56,3,Some Random Commen with Id 45
46,9,3,182,8,Some Random Commen with Id 46
47,9,3,107,0,Some Random Commen with Id 47
